tick,node,drive,phase_tick,coherence,energy,phase,pathway
11,23,0,12,0,0,free,free_pool
11,24,0,12,0,0,free,free_pool
11,25,0,12,0,0,free,free_pool
11,26,0,12,0,0,free,free_pool
11,27,0,12,0,0,free,free_pool
11,28,0,12,0,0,free,free_pool
11,29,0,12,0,0,free,free_pool
11,30,0,12,0,0,free,free_pool
11,31,0,12,0,0,free,free_pool
12,0,0,13,0,0,free,free_pool
12,1,0,13,0,0,free,free_pool
12,2,0,13,0,0,free,free_pool
12,3,0,13,0,0,free,free_pool
12,4,0,13,0,0,free,free_pool
12,5,0,13,0,0,free,free_pool
12,6,0,13,0,0,free,free_pool
12,7,0,13,0,0,free,free_pool
12,8,0,13,0,0,free,free_pool
12,9,0,13,0,0,free,free_pool
12,10,0,13,0,0,free,free_pool
12,11,0,13,0,0,free,free_pool
12,12,0,13,0,0,free,free_pool
12,13,0,13,0,0,free,free_pool
12,14,0,13,0,0,free,free_pool
12,15,0,13,0,0,free,free_pool
12,16,0,13,0,0,free,free_pool
12,17,1,13,3,1,formation,depression_consumption
12,18,0,13,1,1,formation,depression_consumption
12,19,0,13,0,1,free,free_pool
12,20,0,13,0,0,free,free_pool
12,21,0,13,0,0,free,free_pool
12,22,0,13,0,0,free,free_pool
12,23,0,13,0,0,free,free_pool
12,24,0,13,0,0,free,free_pool
12,25,0,13,0,0,free,free_pool
12,26,0,13,0,0,free,free_pool
12,27,0,13,0,0,free,free_pool
12,28,0,13,0,0,free,free_pool
12,29,0,13,0,0,free,free_pool
12,30,0,13,0,0,free,free_pool
12,31,0,13,0,0,free,free_pool
13,0,0,14,0,0,free,free_pool
13,1,0,14,0,0,free,free_pool
13,2,0,14,0,0,free,free_pool
13,3,0,14,0,0,free,free_pool
13,4,0,14,0,0,free,free_pool
13,5,0,14,0,0,free,free_pool
13,6,0,14,0,0,free,free_pool
13,7,0,14,0,0,free,free_pool
13,8,0,14,0,0,free,free_pool
13,9,0,14,0,0,free,free_pool
13,10,0,14,0,0,free,free_pool
13,11,0,14,0,0,free,free_pool
13,12,0,14,0,0,free,free_pool
13,13,0,14,0,0,free,free_pool
13,14,0,14,0,0,free,free_pool
13,15,0,14,0,0,free,free_pool
13,16,1,14,3,1,formation,depression_consumption
13,17,0,14,1,1,formation,depression_consumption
13,18,0,14,0,1,free,free_pool
13,19,0,14,0,0,free,free_pool
13,20,0,14,0,0,free,free_pool
13,21,0,14,0,0,free,free_pool
13,22,0,14,0,0,free,free_pool
13,23,0,14,0,0,free,free_pool
13,24,0,14,0,0,free,free_pool
