tick,node,drive,phase_tick,coherence,energy,phase
27,23,0,28,0,0,free
27,24,0,28,0,0,free
27,25,0,28,0,0,free
27,26,0,28,0,0,free
27,27,0,28,0,0,free
27,28,0,28,0,0,free
27,29,0,28,0,0,free
27,30,0,28,0,0,free
27,31,1,28,0,1,free
28,0,0,29,0,0,free
28,1,1,29,0,1,free
28,2,0,29,0,0,free
28,3,0,29,0,0,free
28,4,0,29,0,0,free
28,5,0,29,0,0,free
28,6,0,29,0,1,drift
28,7,0,29,0,1,dissolution
28,8,0,29,0,0,free
28,9,0,29,0,0,free
28,10,0,29,0,0,free
28,11,0,29,0,0,free
28,12,0,29,0,0,free
28,13,0,29,0,0,free
28,14,0,29,0,0,free
28,15,0,29,0,0,free
28,16,0,29,0,0,free
28,17,0,29,0,0,free
28,18,0,29,0,0,free
28,19,0,29,0,0,free
28,20,0,29,0,0,free
28,21,0,29,0,0,free
28,22,0,29,0,0,free
28,23,0,29,0,0,free
28,24,0,29,0,0,free
28,25,0,29,0,0,free
28,26,0,29,0,0,free
28,27,0,29,0,0,free
28,28,0,29,0,0,free
28,29,0,29,0,0,free
28,30,1,29,0,1,free
28,31,0,29,0,0,free
29,0,1,30,0,1,free
29,1,0,30,0,0,free
29,2,0,30,0,0,free
29,3,0,30,0,0,free
29,4,0,30,0,0,free
29,5,0,30,0,0,free
29,6,0,30,0,1,dissolution
29,7,0,30,0,0,free
29,8,0,30,0,0,free
29,9,0,30,0,0,free
29,10,0,30,0,0,free
29,11,0,30,0,0,free
29,12,0,30,0,0,free
29,13,0,30,0,0,free
29,14,0,30,0,0,free
29,15,0,30,0,0,free
29,16,0,30,0,0,free
29,17,0,30,0,0,free
29,18,0,30,0,0,free
29,19,0,30,0,0,free
29,20,0,30,0,0,free
29,21,0,30,0,0,free
29,22,0,30,0,0,free
29,23,0,30,0,0,free
29,24,0,30,0,0,free
29,25,0,30,0,0,free
29,26,0,30,0,0,free
29,27,0,30,0,0,free
29,28,0,30,0,0,free
29,29,1,30,0,1,free
29,30,0,30,0,0,free
29,31,0,30,0,0,free
30,0,0,31,0,0,free
30,1,0,31,0,0,free
30,2,0,31,0,0,free
30,3,0,31,0,0,free
